doi,authorName,authorID,authorIDtype,authorAffil,affilID,affilIDtype,familyName,givenName,indexID,creatorIndex,affiliationIndex,identifierIndex
10.6084/m9.figshare.26737455,"Wu, Wenxin",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Wu,Wenxin,1,1,1,NA
10.6084/m9.figshare.26737455,"Alexander, Jeremy S.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Alexander,Jeremy S.,1,2,1,NA
10.6084/m9.figshare.26737455,"Booth, J. Leland",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Booth,J. Leland,1,3,1,NA
10.6084/m9.figshare.26737455,"Miller, Craig A.",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Miller,Craig A.,1,4,1,NA
10.6084/m9.figshare.26737455,"Metcalf, Jordan P.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Metcalf,Jordan P.,1,5,1,NA
10.6084/m9.figshare.26737455,"Metcalf, Jordan P.",NA,NA,Oklahoma City VA Medical Center,https://ror.org/010md9d18,ROR,Metcalf,Jordan P.,1,5,2,NA
10.6084/m9.figshare.26737455,"Drevets, Douglas A.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Drevets,Douglas A.,1,6,1,NA
10.6084/m9.figshare.26737455.v1,"Wu, Wenxin",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Wu,Wenxin,2,1,1,NA
10.6084/m9.figshare.26737455.v1,"Alexander, Jeremy S.",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Alexander,Jeremy S.,2,2,1,NA
10.6084/m9.figshare.26737455.v1,"Booth, J. Leland",NA,NA,University of Oklahoma Health Sciences Center,https://ror.org/0457zbj98,ROR,Booth,J. Leland,2,3,1,NA
10.6084/m9.figshare.26737455.v1,"Miller, Craig A.",NA,NA,Oklahoma State University,https://ror.org/01g9vbr38,ROR,Miller,Craig A.,2,4,1,NA
